S,I,R,mortes,tempo
60.7714,7.8019,1.4268,0.0285,27.5
60.7477,7.8167,1.4356,0.0287,27.6
60.7239,7.8316,1.4445,0.0289,27.7
60.7001,7.8464,1.4534,0.0291,27.8
60.6763,7.8613,1.4623,0.0292,27.9
60.6525,7.8762,1.4713,0.0294,28.0
60.6286,7.8912,1.4802,0.0296,28.1
60.6047,7.9061,1.4892,0.0298,28.2
60.5807,7.9211,1.4982,0.0300,28.3
60.5567,7.9361,1.5072,0.0301,28.4
60.5327,7.9511,1.5162,0.0303,28.5
60.5086,7.9661,1.5252,0.0305,28.6
60.4845,7.9812,1.5343,0.0307,28.7
60.4604,7.9963,1.5434,0.0309,28.8
60.4362,8.0113,1.5524,0.0310,28.9
60.4120,8.0265,1.5615,0.0312,29.0
60.3878,8.0416,1.5707,0.0314,29.1
60.3635,8.0567,1.5798,0.0316,29.2
60.3392,8.0719,1.5890,0.0318,29.3
60.3148,8.0871,1.5981,0.0320,29.4
60.2904,8.1023,1.6073,0.0321,29.5
60.2660,8.1175,1.6165,0.0323,29.6
60.2415,8.1327,1.6258,0.0325,29.7
60.2170,8.1480,1.6350,0.0327,29.8
60.1925,8.1632,1.6443,0.0329,29.9
60.1679,8.1785,1.6535,0.0331,30.0
60.1433,8.1938,1.6628,0.0333,30.1
60.1187,8.2092,1.6721,0.0334,30.2
60.0940,8.2245,1.6815,0.0336,30.3
60.0693,8.2399,1.6908,0.0338,30.4
60.0446,8.2553,1.7002,0.0340,30.5
60.0198,8.2707,1.7096,0.0342,30.6
59.9950,8.2861,1.7190,0.0344,30.7
59.9701,8.3015,1.7284,0.0346,30.8
59.9452,8.3170,1.7378,0.0348,30.9
59.9203,8.3325,1.7473,0.0349,31.0
59.8953,8.3480,1.7567,0.0351,31.1
59.8703,8.3635,1.7662,0.0353,31.2
59.8453,8.3790,1.7757,0.0355,31.3
59.8202,8.3946,1.7852,0.0357,31.4
59.7951,8.4101,1.7948,0.0359,31.5
59.7700,8.4257,1.8043,0.0361,31.6
59.7448,8.4413,1.8139,0.0363,31.7
59.7196,8.4569,1.8235,0.0365,31.8
59.6943,8.4726,1.8331,0.0367,31.9
59.6690,8.4882,1.8427,0.0369,32.0
59.6437,8.5039,1.8524,0.0370,32.1
59.6183,8.5196,1.8620,0.0372,32.2
59.5929,8.5353,1.8717,0.0374,32.3
59.5675,8.5511,1.8814,0.0376,32.4
59.5420,8.5668,1.8911,0.0378,32.5
59.5165,8.5826,1.9009,0.0380,32.6
59.4910,8.5984,1.9106,0.0382,32.7
59.4654,8.6142,1.9204,0.0384,32.8
59.4398,8.6300,1.9302,0.0386,32.9
59.4142,8.6458,1.9400,0.0388,33.0
59.3885,8.6617,1.9498,0.0390,33.1
59.3628,8.6776,1.9597,0.0392,33.2
59.3370,8.6935,1.9695,0.0394,33.3
59.3112,8.7094,1.9794,0.0396,33.4
59.2854,8.7253,1.9893,0.0398,33.5
59.2595,8.7413,1.9992,0.0400,33.6
59.2336,8.7572,2.0091,0.0402,33.7
59.2077,8.7732,2.0191,0.0404,33.8
59.1817,8.7892,2.0291,0.0406,33.9
59.1557,8.8053,2.0391,0.0408,34.0
59.1297,8.8213,2.0491,0.0410,34.1
59.1036,8.8373,2.0591,0.0412,34.2
59.0775,8.8534,2.0691,0.0414,34.3
59.0513,8.8695,2.0792,0.0416,34.4
59.0251,8.8856,2.0893,0.0418,34.5
58.9989,8.9017,2.0994,0.0420,34.6
58.9726,8.9179,2.1095,0.0422,34.7
58.9463,8.9340,2.1196,0.0424,34.8
58.9200,8.9502,2.1298,0.0426,34.9
58.8936,8.9664,2.1399,0.0428,35.0
58.8672,8.9826,2.1501,0.0430,35.1
58.8408,8.9989,2.1603,0.0432,35.2
58.8143,9.0151,2.1706,0.0434,35.3
58.7878,9.0314,2.1808,0.0436,35.4
58.7613,9.0477,2.1911,0.0438,35.5
58.7347,9.0640,2.2014,0.0440,35.6
58.7081,9.0803,2.2117,0.0442,35.7
58.6814,9.0966,2.2220,0.0444,35.8
58.6547,9.1130,2.2323,0.0446,35.9
58.6280,9.1293,2.2427,0.0449,36.0
58.6012,9.1457,2.2530,0.0451,36.1
58.5744,9.1621,2.2634,0.0453,36.2
58.5476,9.1786,2.2738,0.0455,36.3
58.5207,9.1950,2.2843,0.0457,36.4
58.4938,9.2115,2.2947,0.0459,36.5
58.4669,9.2279,2.3052,0.0461,36.6
58.4399,9.2444,2.3157,0.0463,36.7
58.4129,9.2609,2.3262,0.0465,36.8
58.3859,9.2775,2.3367,0.0467,36.9
58.3588,9.2940,2.3472,0.0469,37.0
58.3317,9.3106,2.3578,0.0472,37.1
58.3045,9.3271,2.3684,0.0474,37.2
58.2773,9.3437,2.3790,0.0476,37.3
58.2501,9.3603,2.3896,0.0478,37.4
58.2228,9.3770,2.4002,0.0480,37.5
58.1955,9.3936,2.4109,0.0482,37.6
58.1682,9.4103,2.4216,0.0484,37.7
58.1408,9.4269,2.4323,0.0486,37.8
58.1134,9.4436,2.4430,0.0489,37.9
58.0860,9.4603,2.4537,0.0491,38.0
58.0585,9.4771,2.4645,0.0493,38.1
58.0310,9.4938,2.4752,0.0495,38.2
58.0034,9.5106,2.4860,0.0497,38.3
57.9759,9.5273,2.4968,0.0499,38.4
57.9482,9.5441,2.5077,0.0502,38.5
57.9206,9.5609,2.5185,0.0504,38.6
57.8929,9.5778,2.5294,0.0506,38.7
57.8652,9.5946,2.5402,0.0508,38.8
57.8374,9.6114,2.5511,0.0510,38.9
57.8096,9.6283,2.5621,0.0512,39.0
57.7818,9.6452,2.5730,0.0515,39.1
57.7539,9.6621,2.5840,0.0517,39.2
57.7260,9.6790,2.5950,0.0519,39.3
57.6981,9.6960,2.6060,0.0521,39.4
57.6701,9.7129,2.6170,0.0523,39.5
57.6421,9.7299,2.6280,0.0526,39.6
57.6141,9.7469,2.6391,0.0528,39.7
57.5860,9.7639,2.6501,0.0530,39.8
57.5579,9.7809,2.6612,0.0532,39.9
57.5297,9.7979,2.6723,0.0534,40.0
57.5015,9.8150,2.6835,0.0537,40.1
57.4733,9.8321,2.6946,0.0539,40.2
57.4451,9.8491,2.7058,0.0541,40.3
57.4168,9.8662,2.7170,0.0543,40.4
57.3885,9.8833,2.7282,0.0546,40.5
57.3601,9.9005,2.7394,0.0548,40.6
57.3317,9.9176,2.7507,0.0550,40.7
57.3033,9.9348,2.7620,0.0552,40.8
57.2748,9.9520,2.7733,0.0555,40.9
57.2463,9.9691,2.7846,0.0557,41.0
57.2178,9.9864,2.7959,0.0559,41.1
57.1892,10.0036,2.8072,0.0561,41.2
57.1606,10.0208,2.8186,0.0564,41.3
57.1320,10.0381,2.8300,0.0566,41.4
57.1033,10.0553,2.8414,0.0568,41.5
57.0746,10.0726,2.8528,0.0571,41.6
57.0458,10.0899,2.8643,0.0573,41.7
57.0170,10.1072,2.8757,0.0575,41.8
56.9882,10.1246,2.8872,0.0577,41.9
56.9594,10.1419,2.8987,0.0580,42.0
56.9305,10.1593,2.9103,0.0582,42.1
56.9016,10.1766,2.9218,0.0584,42.2
56.8726,10.1940,2.9334,0.0587,42.3
56.8436,10.2114,2.9449,0.0589,42.4
56.8146,10.2288,2.9566,0.0591,42.5
56.7856,10.2463,2.9682,0.0594,42.6
56.7565,10.2637,2.9798,0.0596,42.7
56.7273,10.2812,2.9915,0.0598,42.8
56.6982,10.2987,3.0032,0.0601,42.9
56.6690,10.3162,3.0149,0.0603,43.0
56.6398,10.3337,3.0266,0.0605,43.1
56.6105,10.3512,3.0383,0.0608,43.2
56.5812,10.3687,3.0501,0.0610,43.3
56.5519,10.3863,3.0619,0.0612,43.4
56.5225,10.4038,3.0737,0.0615,43.5
56.4931,10.4214,3.0855,0.0617,43.6
56.4636,10.4390,3.0973,0.0619,43.7
56.4342,10.4566,3.1092,0.0622,43.8
56.4047,10.4742,3.1211,0.0624,43.9
56.3751,10.4919,3.1330,0.0627,44.0
56.3456,10.5095,3.1449,0.0629,44.1
56.3159,10.5272,3.1569,0.0631,44.2
56.2863,10.5449,3.1688,0.0634,44.3
56.2566,10.5626,3.1808,0.0636,44.4
56.2269,10.5803,3.1928,0.0639,44.5
56.1972,10.5980,3.2048,0.0641,44.6
56.1674,10.6157,3.2169,0.0643,44.7
56.1376,10.6335,3.2289,0.0646,44.8
56.1077,10.6513,3.2410,0.0648,44.9
56.0779,10.6690,3.2531,0.0651,45.0
56.0479,10.6868,3.2652,0.0653,45.1
56.0180,10.7046,3.2774,0.0655,45.2
55.9880,10.7224,3.2896,0.0658,45.3
55.9580,10.7403,3.3017,0.0660,45.4
55.9279,10.7581,3.3139,0.0663,45.5
55.8979,10.7760,3.3262,0.0665,45.6
55.8677,10.7939,3.3384,0.0668,45.7
55.8376,10.8117,3.3507,0.0670,45.8
55.8074,10.8296,3.3630,0.0673,45.9
55.7772,10.8475,3.3753,0.0675,46.0
55.7469,10.8655,3.3876,0.0678,46.1
55.7166,10.8834,3.3999,0.0680,46.2
55.6863,10.9014,3.4123,0.0682,46.3
55.6560,10.9193,3.4247,0.0685,46.4
55.6256,10.9373,3.4371,0.0687,46.5
55.5952,10.9553,3.4495,0.0690,46.6
55.5647,10.9733,3.4620,0.0692,46.7
55.5342,10.9913,3.4745,0.0695,46.8
55.5037,11.0093,3.4870,0.0697,46.9
55.4732,11.0274,3.4995,0.0700,47.0
55.4426,11.0454,3.5120,0.0702,47.1
55.4119,11.0635,3.5245,0.0705,47.2
55.3813,11.0816,3.5371,0.0707,47.3
55.3506,11.0997,3.5497,0.0710,47.4
55.3199,11.1178,3.5623,0.0712,47.5
55.2891,11.1359,3.5750,0.0715,47.6
55.2584,11.1540,3.5876,0.0718,47.7
55.2275,11.1722,3.6003,0.0720,47.8
55.1967,11.1903,3.6130,0.0723,47.9
55.1658,11.2085,3.6257,0.0725,48.0
55.1349,11.2267,3.6384,0.0728,48.1
55.1039,11.2449,3.6512,0.0730,48.2
55.0730,11.2631,3.6640,0.0733,48.3
55.0419,11.2813,3.6768,0.0735,48.4
55.0109,11.2995,3.6896,0.0738,48.5
54.9798,11.3178,3.7024,0.0740,48.6
54.9487,11.3360,3.7153,0.0743,48.7
54.9176,11.3543,3.7282,0.0746,48.8
54.8864,11.3726,3.7411,0.0748,48.9
54.8552,11.3908,3.7540,0.0751,49.0
54.8239,11.4091,3.7669,0.0753,49.1
54.7927,11.4274,3.7799,0.0756,49.2
54.7613,11.4458,3.7929,0.0759,49.3
54.7300,11.4641,3.8059,0.0761,49.4
54.6986,11.4824,3.8189,0.0764,49.5
54.6672,11.5008,3.8320,0.0766,49.6
54.6358,11.5192,3.8450,0.0769,49.7
54.6043,11.5375,3.8581,0.0772,49.8
54.5728,11.5559,3.8712,0.0774,49.9
54.5413,11.5743,3.8844,0.0777,50.0
54.5097,11.5927,3.8975,0.0780,50.1
54.4781,11.6112,3.9107,0.0782,50.2
54.4465,11.6296,3.9239,0.0785,50.3
54.4149,11.6480,3.9371,0.0787,50.4
54.3832,11.6665,3.9504,0.0790,50.5
54.3514,11.6850,3.9636,0.0793,50.6
54.3197,11.7034,3.9769,0.0795,50.7
54.2879,11.7219,3.9902,0.0798,50.8
54.2561,11.7404,4.0035,0.0801,50.9
54.2242,11.7589,4.0168,0.0803,51.0
54.1923,11.7775,4.0302,0.0806,51.1
54.1604,11.7960,4.0436,0.0809,51.2
54.1285,11.8145,4.0570,0.0811,51.3
54.0965,11.8331,4.0704,0.0814,51.4
54.0645,11.8516,4.0839,0.0817,51.5
54.0325,11.8702,4.0973,0.0819,51.6
54.0004,11.8888,4.1108,0.0822,51.7
53.9683,11.9074,4.1243,0.0825,51.8
53.9362,11.9260,4.1379,0.0828,51.9
53.9040,11.9446,4.1514,0.0830,52.0
53.8718,11.9632,4.1650,0.0833,52.1
53.8396,11.9818,4.1786,0.0836,52.2
53.8073,12.0005,4.1922,0.0838,52.3
53.7751,12.0191,4.2058,0.0841,52.4
53.7427,12.0378,4.2195,0.0844,52.5
53.7104,12.0564,4.2332,0.0847,52.6
53.6780,12.0751,4.2469,0.0849,52.7
53.6456,12.0938,4.2606,0.0852,52.8
53.6132,12.1125,4.2743,0.0855,52.9
53.5807,12.1312,4.2881,0.0858,53.0
53.5482,12.1499,4.3019,0.0860,53.1
53.5157,12.1686,4.3157,0.0863,53.2
53.4831,12.1874,4.3295,0.0866,53.3
53.4505,12.2061,4.3434,0.0869,53.4
53.4179,12.2249,4.3572,0.0871,53.5
53.3852,12.2436,4.3711,0.0874,53.6
53.3526,12.2624,4.3851,0.0877,53.7
53.3198,12.2812,4.3990,0.0880,53.8
53.2871,12.3000,4.4129,0.0883,53.9
53.2543,12.3188,4.4269,0.0885,54.0
53.2215,12.3376,4.4409,0.0888,54.1
53.1887,12.3564,4.4549,0.0891,54.2
53.1558,12.3752,4.4690,0.0894,54.3
53.1229,12.3940,4.4830,0.0897,54.4
53.0900,12.4129,4.4971,0.0899,54.5
53.0571,12.4317,4.5112,0.0902,54.6
53.0241,12.4505,4.5254,0.0905,54.7
52.9911,12.4694,4.5395,0.0908,54.8
52.9580,12.4883,4.5537,0.0911,54.9
52.9250,12.5072,4.5679,0.0914,55.0
52.8919,12.5260,4.5821,0.0916,55.1
52.8588,12.5449,4.5963,0.0919,55.2
52.8256,12.5638,4.6106,0.0922,55.3
52.7924,12.5827,4.6248,0.0925,55.4
52.7592,12.6017,4.6391,0.0928,55.5
52.7260,12.6206,4.6535,0.0931,55.6
52.6927,12.6395,4.6678,0.0934,55.7
52.6594,12.6584,4.6822,0.0936,55.8
52.6261,12.6774,4.6966,0.0939,55.9
52.5927,12.6963,4.7110,0.0942,56.0
52.5593,12.7153,4.7254,0.0945,56.1
52.5259,12.7343,4.7398,0.0948,56.2
52.4925,12.7532,4.7543,0.0951,56.3
52.4590,12.7722,4.7688,0.0954,56.4
52.4255,12.7912,4.7833,0.0957,56.5
52.3919,12.8102,4.7979,0.0960,56.6
52.3584,12.8292,4.8124,0.0962,56.7
52.3248,12.8482,4.8270,0.0965,56.8
52.2912,12.8672,4.8416,0.0968,56.9
52.2575,12.8862,4.8562,0.0971,57.0
52.2239,12.9053,4.8709,0.0974,57.1
52.1902,12.9243,4.8855,0.0977,57.2
52.1565,12.9433,4.9002,0.0980,57.3
52.1227,12.9624,4.9149,0.0983,57.4
52.0889,12.9814,4.9296,0.0986,57.5
52.0551,13.0005,4.9444,0.0989,57.6
52.0213,13.0196,4.9592,0.0992,57.7
51.9874,13.0386,4.9740,0.0995,57.8
51.9535,13.0577,4.9888,0.0998,57.9
51.9196,13.0768,5.0036,0.1001,58.0
51.8857,13.0959,5.0185,0.1004,58.1
